New Partners Starter,Cumulative Partners Starter,New Locations Starter,Cumulative Locations Starter,Cumulative Gateways Starter,Cumulative Cameras Starter,Cumulative Location License Fees Starter,Cumulative Gateway License Fees Starter,Cumulative Cameras License Fees Starter,Total License Fee Starter,New Partners Advanced,Cumulative Partners Advanced,New Locations Advanced,Cumulative Locations Advanced,Cumulative Gateways Advanced,Cumulative Cameras Advanced,Cumulative Location License Fees Advanced,Cumulative Gateway License Fees Advanced,Cumulative Cameras License Fees Advanced,Total License Fee Advanced,New Partners Enterprise,Cumulative Partners Enterprise,New Locations Enterprise,Cumulative Locations Enterprise,Cumulative Gateways Enterprise,Cumulative Cameras Enterprise,Cumulative Location License Fees Enterprise,Cumulative Gateway License Fees Enterprise,Cumulative Cameras License Fees Enterprise,Total License Fee Enterprise,New Partners Operator,Cumulative Partners Operator,New Locations Operator,Cumulative Locations Operator,Cumulative Gateways Operator,Cumulative Cameras Operator,Cumulative Location License Fees Operator,Cumulative Gateway License Fees Operator,Cumulative Cameras License Fees Operator,Total License Fee Operator,Total Cumulative Costs,Total License Fee Monthly (All Models),Total Cumulative License Fee (All Models),Sales Commission Per Month,Total Cumulative Sales Commission,Cash Flow Per Month,Total Cumulative Cash Flow,Valuation Per Year
0,5,1,4,20,600,5000,5000,0,10000,1,4,1,3,30,2100,2450,5250,0,7700,0,5,2,5,75,7500,2200,8250,0,10450,0,0,12,85,850,25500,150500,322500,96750.0,569750.0,1100000,597900.0,2201850.0,149475.0,550462.5,348425.0,551387.5,
0,5,1,5,25,750,7500,7500,0,15000,0,4,1,4,40,2800,3850,8250,0,12100,0,5,2,7,105,10500,3600,13500,0,17100,0,0,12,97,970,29100,186200,399000,119700.0,704900.0,1200000,749100.0,2950950.0,187275.0,737737.5,461825.0,1013212.5,
0,5,1,6,30,900,10500,10500,0,21000,1,5,1,5,50,3500,5600,12000,0,17600,0,5,1,8,120,12000,5200,19500,0,24700,0,0,40,137,1370,41100,235900,505500,151650.0,893050.0,1300000,956350.0,3907300.0,239087.5,976825.0,617262.5,1630475.0,
0,5,1,7,35,1050,14000,14000,0,28000,0,5,2,7,70,4900,8050,17250,0,25300,0,5,2,10,150,15000,7200,27000,0,34200,0,0,40,177,1770,53100,299600,642000,192600.0,1134200.0,1400000,1221700.0,5129000.0,305425.0,1282250.0,816275.0,2446750.0,
0,5,1,8,40,1200,18000,18000,0,36000,1,6,1,8,80,5600,10850,23250,0,34100,0,5,2,12,180,18000,9600,36000,0,45600,0,0,40,217,2170,65100,377300,808500,242550.0,1428350.0,1500000,1544050.0,6673050.0,386012.5,1668262.5,1058037.5,3504787.5,
0,5,1,9,45,1350,22500,22500,0,45000,0,6,2,10,100,7000,14350,30750,0,45100,0,5,1,13,195,19500,12200,45750,0,57950,0,0,40,257,2570,77100,469000,1005000,301500.0,1775500.0,1600000,1923550.0,8596600.0,480887.5,2149150.0,1342662.5,4847450.0,
0,5,1,10,50,1500,27500,27500,0,55000,1,7,2,12,120,8400,18550,39750,0,58300,0,5,2,15,225,22500,15200,57000,0,72200,0,0,40,297,2970,89100,574700,1231500,369450.0,2175650.0,1700000,2361150.0,10957750.0,590287.5,2739437.5,1670862.5,6518312.5,
0,5,1,11,55,1650,33000,33000,0,66000,0,7,2,14,140,9800,23450,50250,0,73700,0,5,2,17,255,25500,18600,69750,0,88350,0,0,40,337,3370,101100,694400,1488000,446400.0,2628800.0,1800000,2856850.0,13814600.0,714212.5,3453650.0,2042637.5,8560950.0,
0,5,1,12,60,1800,39000,39000,0,78000,1,8,2,16,160,11200,29050,62250,0,91300,0,5,1,18,270,27000,22200,83250,0,105450,0,0,40,377,3770,113100,828100,1774500,532350.0,3134950.0,1900000,3409700.0,17224300.0,852425.0,4306075.0,2457275.0,11018225.0,
0,5,1,13,65,1950,45500,45500,0,91000,0,8,3,19,190,13300,35700,76500,0,112200,0,5,2,20,300,30000,26200,98250,0,124450,0,0,40,417,4170,125100,975800,2091000,627300.0,3694100.0,2000000,4021750.0,21246050.0,1005437.5,5311512.5,2916312.5,13934537.5,
0,5,1,14,70,2100,52500,52500,0,105000,1,9,2,21,210,14700,43050,92250,0,135300,0,5,2,22,330,33000,30600,114750,0,145350,0,0,40,457,4570,137100,1137500,2437500,731250.0,4306250.0,2100000,4691900.0,25937950.0,1172975.0,6484487.5,3418925.0,17353462.5,
0,5,1,15,75,2250,60000,60000,0,120000,0,9,3,24,240,16800,51450,110250,0,161700,0,5,1,23,345,34500,35200,132000,0,167200,0,0,40,497,4970,149100,1313200,2814000,844200.0,4971400.0,2200000,5420300.0,31358250.0,1355075.0,7839562.5,3965225.0,21318687.5,
0,5,1,16,80,2400,68000,68000,0,136000,1,10,3,27,270,18900,60900,130500,0,191400,0,5,2,25,375,37500,40200,150750,0,190950,0,0,40,537,5370,161100,1502900,3220500,966150.0,5689550.0,2300000,6207900.0,37566150.0,1551975.0,9391537.5,4555925.0,25874612.5,
0,5,1,17,85,2550,76500,76500,0,153000,0,10,3,30,300,21000,71400,153000,0,224400,0,5,2,27,405,40500,45600,171000,0,216600,0,0,40,577,5770,173100,1706600,3657000,1097100.0,6460700.0,2400000,7054700.0,44620850.0,1763675.0,11155212.5,5191025.0,31065637.5,
0,5,1,18,90,2700,85500,85500,0,171000,0,10,3,33,330,23100,82950,177750,0,260700,0,5,1,28,420,42000,51200,192000,0,243200,0,0,40,617,6170,185100,1924300,4123500,1237050.0,7284850.0,2500000,7959750.0,52580600.0,1989937.5,13145150.0,5869812.5,36935450.0,
0,5,1,19,95,2850,95000,95000,0,190000,0,10,4,37,370,25900,95900,205500,0,301400,0,5,2,30,450,45000,57200,214500,0,271700,0,0,40,657,6570,197100,2156000,4620000,1386000.0,8162000.0,2600000,8925100.0,61505700.0,2231275.0,15376425.0,6593825.0,43529275.0,
0,5,1,20,100,3000,105000,105000,0,210000,0,10,3,40,400,28000,109900,235500,0,345400,0,5,2,32,480,48000,63600,238500,0,302100,0,0,40,697,6970,209100,2401700,5146500,1543950.0,9092150.0,2700000,9949650.0,71455350.0,2487412.5,17863837.5,7362237.5,50891512.5,
0,5,1,21,105,3150,115500,115500,0,231000,0,10,3,43,430,30100,124950,267750,0,392700,0,5,1,33,495,49500,70200,263250,0,333450,0,0,40,737,7370,221100,2661400,5703000,1710900.0,10075300.0,2800000,11032450.0,82487800.0,2758112.5,20621950.0,8174337.5,59065850.0,
0,5,1,22,110,3300,126500,126500,0,253000,0,10,4,47,470,32900,141400,303000,0,444400,0,5,2,35,525,52500,77200,289500,0,366700,0,0,40,777,7770,233100,2935100,6289500,1886850.0,11111450.0,2900000,12175550.0,94663350.0,3043887.5,23665837.5,9031662.5,68097512.5,
0,5,1,23,115,3450,138000,138000,0,276000,0,10,3,50,500,35000,158900,340500,0,499400,0,5,2,37,555,55500,84600,317250,0,401850,0,0,40,817,8170,245100,3222800,6906000,2071800.0,12200600.0,3000000,13377850.0,108041200.0,3344462.5,27010300.0,9933387.5,78030900.0,
0,5,1,24,120,3600,150000,150000,0,300000,0,10,3,53,530,37100,177450,380250,0,557700,0,5,1,38,570,57000,92200,345750,0,437950,0,0,40,857,8570,257100,3524500,7552500,2265750.0,13342750.0,3100000,14638400.0,122679600.0,3659600.0,30669900.0,10878800.0,88909700.0,
0,5,1,25,125,3750,162500,162500,0,325000,0,10,4,57,570,39900,197400,423000,0,620400,0,5,2,40,600,60000,100200,375750,0,475950,0,0,40,897,8970,269100,3840200,8229000,2468700.0,14537900.0,3200000,15959250.0,138638850.0,3989812.5,34659712.5,11869437.5,100779137.5,
0,5,1,26,130,3900,175500,175500,0,351000,0,10,3,60,600,42000,218400,468000,0,686400,0,5,2,42,630,63000,108600,407250,0,515850,0,0,40,937,9370,281100,4169900,8935500,2680650.0,15786050.0,3300000,17339300.0,155978150.0,4334825.0,38994537.5,12904475.0,113683612.5,
0,5,1,27,135,4050,189000,189000,0,378000,0,10,3,63,630,44100,240450,515250,0,755700,0,5,1,43,645,64500,117200,439500,0,556700,0,0,40,977,9770,293100,4513600,9672000,2901600.0,17087200.0,3400000,18777600.0,174755750.0,4694400.0,43688937.5,13983200.0,127666812.5,
0,5,1,28,140,4200,203000,203000,0,406000,0,10,4,67,670,46900,263900,565500,0,829400,0,5,2,45,675,67500,126200,473250,0,599450,0,0,40,1017,10170,305100,4871300,10438500,3131550.0,18441350.0,3500000,20276200.0,195031950.0,5069050.0,48757987.5,15107150.0,142773962.5,
0,5,1,29,145,4350,217500,217500,0,435000,0,10,3,70,700,49000,288400,618000,0,906400,0,5,2,47,705,70500,135600,508500,0,644100,0,0,40,1057,10570,317100,5243000,11235000,3370500.0,19848500.0,3600000,21834000.0,216865950.0,5458500.0,54216487.5,16275500.0,159049462.5,
0,5,1,30,150,4500,232500,232500,0,465000,0,10,3,73,730,51100,313950,672750,0,986700,0,5,1,48,720,72000,145200,544500,0,689700,0,0,40,1097,10970,329100,5628700,12061500,3618450.0,21308650.0,3700000,23450050.0,240316000.0,5862512.5,60079000.0,17487537.5,176537000.0,
0,5,1,31,155,4650,248000,248000,0,496000,0,10,4,77,770,53900,340900,730500,0,1071400,0,5,2,50,750,75000,155200,582000,0,737200,0,0,40,1137,11370,341100,6028400,12918000,3875400.0,22821800.0,3800000,25126400.0,265442400.0,6281600.0,66360600.0,18744800.0,195281800.0,
0,5,1,32,160,4800,264000,264000,0,528000,0,10,3,80,800,56000,368900,790500,0,1159400,0,5,2,52,780,78000,165600,621000,0,786600,0,0,40,1177,11770,353100,6442100,13804500,4141350.0,24387950.0,3900000,26861950.0,292304350.0,6715487.5,73076087.5,20046462.5,215328262.5,
0,5,1,33,165,4950,280500,280500,0,561000,0,10,3,83,830,58100,397950,852750,0,1250700,0,5,1,53,795,79500,176200,660750,0,836950,0,0,40,1217,12170,365100,6869800,14721000,4416300.0,26007100.0,4000000,28655750.0,320960100.0,7163937.5,80240025.0,21391812.5,236720075.0,
0,5,1,34,170,5100,297500,297500,0,595000,0,10,4,87,870,60900,428400,918000,0,1346400,0,5,2,55,825,82500,187200,702000,0,889200,0,0,40,1257,12570,377100,7311500,15667500,4700250.0,27679250.0,4100000,30509850.0,351469950.0,7627462.5,87867487.5,22782387.5,259502462.5,
0,5,1,35,175,5250,315000,315000,0,630000,0,10,3,90,900,63000,459900,985500,0,1445400,0,5,2,57,855,85500,198600,744750,0,943350,0,0,40,1297,12970,389100,7767200,16644000,4993200.0,29404400.0,4200000,32423150.0,383893100.0,8105787.5,95973275.0,24217362.5,283719825.0,
0,5,1,36,180,5400,333000,333000,0,666000,0,10,3,93,930,65100,492450,1055250,0,1547700,0,5,1,58,870,87000,210200,788250,0,998450,0,0,40,1337,13370,401100,8236900,17650500,5295150.0,31182550.0,4300000,34394700.0,418287800.0,8598675.0,104571950.0,25696025.0,309415850.0,
0,5,1,37,185,5550,351500,351500,0,703000,0,10,4,97,970,67900,526400,1128000,0,1654400,0,5,2,60,900,90000,222200,833250,0,1055450,0,0,40,1377,13770,413100,8720600,18687000,5606100.0,33013700.0,4400000,36426550.0,454714350.0,9106637.5,113678587.5,27219912.5,336635762.5,
0,5,1,38,190,5700,370500,370500,0,741000,0,10,3,100,1000,70000,561400,1203000,0,1764400,0,5,2,62,930,93000,234600,879750,0,1114350,0,0,40,1417,14170,425100,9218300,19753500,5926050.0,34897850.0,4500000,38517600.0,493231950.0,9629400.0,123307987.5,28788200.0,365423962.5,
0,5,1,39,195,5850,390000,390000,0,780000,0,10,3,103,1030,72100,597450,1280250,0,1877700,0,5,1,63,945,94500,247200,927000,0,1174200,0,0,40,1457,14570,437100,9730000,20850000,6255000.0,36835000.0,4600000,40666900.0,533898850.0,10166725.0,133474712.5,30400175.0,395824137.5,
0,5,1,40,200,6000,410000,410000,0,820000,0,10,4,107,1070,74900,634900,1360500,0,1995400,0,5,2,65,975,97500,260200,975750,0,1235950,0,0,40,1497,14970,449100,10255700,21976500,6592950.0,38825150.0,4700000,42876500.0,576775350.0,10719125.0,144193837.5,32057375.0,427881512.5,
0,5,1,41,205,6150,430500,430500,0,861000,0,10,3,110,1100,77000,673400,1443000,0,2116400,0,5,2,67,1005,100500,273600,1026000,0,1299600,0,0,40,1537,15370,461100,10795400,23133000,6939900.0,40868300.0,4800000,45145300.0,621920650.0,11286325.0,155480162.5,33758975.0,461640487.5,
0,5,1,42,210,6300,451500,451500,0,903000,0,10,3,113,1130,79100,712950,1527750,0,2240700,0,5,1,68,1020,102000,287200,1077000,0,1364200,0,0,40,1577,15770,473100,11349100,24319500,7295850.0,42964450.0,4900000,47472350.0,669393000.0,11868087.5,167348250.0,35504262.5,497144750.0,
0,5,1,43,215,6450,473000,473000,0,946000,0,10,4,117,1170,81900,753900,1615500,0,2369400,0,5,2,70,1050,105000,301200,1129500,0,1430700,0,0,40,1617,16170,485100,11916800,25536000,7660800.0,45113600.0,5000000,49859700.0,719252700.0,12464925.0,179813175.0,37294775.0,534439525.0,
0,5,1,44,220,6600,495000,495000,0,990000,0,10,3,120,1200,84000,795900,1705500,0,2501400,0,5,2,72,1080,108000,315600,1183500,0,1499100,0,0,40,1657,16570,497100,12498500,26782500,8034750.0,47315750.0,5100000,52306250.0,771558950.0,13076562.5,192889737.5,39129687.5,573569212.5,
0,5,1,45,225,6750,517500,517500,0,1035000,0,10,3,123,1230,86100,838950,1797750,0,2636700,0,5,1,73,1095,109500,330200,1238250,0,1568450,0,0,40,1697,16970,509100,13094200,28059000,8417700.0,49570900.0,5200000,54811050.0,826370000.0,13702762.5,206592500.0,41008287.5,614577500.0,
0,5,1,46,230,6900,540500,540500,0,1081000,0,10,4,127,1270,88900,883400,1893000,0,2776400,0,5,2,75,1125,112500,345200,1294500,0,1639700,0,0,40,1737,17370,521100,13703900,29365500,8809650.0,51879050.0,5300000,57376150.0,883746150.0,14344037.5,220936537.5,42932112.5,657509612.5,
0,5,1,47,235,7050,564000,564000,0,1128000,0,10,3,130,1300,91000,928900,1990500,0,2919400,0,5,2,77,1155,115500,360600,1352250,0,1712850,0,0,40,1777,17770,533100,14327600,30702000,9210600.0,54240200.0,5400000,60000450.0,943746600.0,15000112.5,235936650.0,44900337.5,702409950.0,
0,5,1,48,240,7200,588000,588000,0,1176000,0,10,3,133,1330,93100,975450,2090250,0,3065700,0,5,1,78,1170,117000,376200,1410750,0,1786950,0,0,40,1817,18170,545100,14965300,32068500,9620550.0,56654350.0,5500000,62683000.0,1006429600.0,15670750.0,251607400.0,46912250.0,749322200.0,
0,5,1,49,245,7350,612500,612500,0,1225000,0,10,4,137,1370,95900,1023400,2193000,0,3216400,0,5,2,80,1200,120000,392200,1470750,0,1862950,0,0,40,1857,18570,557100,15617000,33465000,10039500.0,59121500.0,5600000,65425850.0,1071855450.0,16356462.5,267963862.5,48969387.5,798291587.5,
0,5,1,50,250,7500,637500,637500,0,1275000,0,10,3,140,1400,98000,1072400,2298000,0,3370400,0,5,2,82,1230,123000,408600,1532250,0,1940850,0,0,40,1897,18970,569100,16282700,34891500,10467450.0,61641650.0,5700000,68227900.0,1140083350.0,17056975.0,285020837.5,51070925.0,849362512.5,
0,5,0,50,250,7500,662500,662500,0,1325000,0,10,3,143,1430,100100,1122450,2405250,0,3527700,0,5,1,83,1245,124500,425200,1594500,0,2019700,0,0,40,1937,19370,581100,16962400,36348000,10904400.0,64214800.0,5800000,71087200.0,1211170550.0,17771800.0,302792637.5,53215400.0,902577912.5,
0,5,0,50,250,7500,687500,687500,0,1375000,0,10,4,147,1470,102900,1173900,2515500,0,3689400,0,5,2,85,1275,127500,442200,1658250,0,2100450,0,0,40,1977,19770,593100,17656100,37834500,11350350.0,66840950.0,5900000,74005800.0,1285176350.0,18501450.0,321294087.5,55404350.0,957982262.5,
0,5,0,50,250,7500,712500,712500,0,1425000,0,10,3,150,1500,105000,1226400,2628000,0,3854400,0,5,2,87,1305,130500,459600,1723500,0,2183100,0,0,40,2017,20170,605100,18363800,39351000,11805300.0,69520100.0,6000000,76982600.0,1362158950.0,19245650.0,340539737.5,57636950.0,1015619212.5,
